Ortsteil,Mietpreise
Adlershof,9.00
Altglienicke,8.90
Alt-Hohenschönhausen,9.40
Alt-Treptow,11.60
Baumschulenweg,9.60
Biesdorf,9.80
Blankenburg,9.60
Blankenfelde,11.20
Bohnsdorf,9.00
Borsigwalde,9.20
Britz,9.30
Buch,8.60
Buckow,8.90
Charlottenburg,11.10
Charlottenburg-Nord,8.80
Dahlem,12.40
Falkenberg,7.50
Falkenhagener Feld,8.20
Fennpfuhl,9.50
Französisch Buchholz,10.50
Friedenau,11.70
Friedrichsfelde,8.40
Friedrichshagen,10.10
Friedrichshain,13.60
Frohnau,10.00
Gatow,9.80
Gesundbrunnen,10.00
Gropiusstadt,8.40
Grünau,9.90
Grunewald,13.00
Hakenfelde,8.90
Halensee,12.10
Hansaviertel,12.60
Haselhorst,8.30
Heiligensee,9.80
Heinersdorf,9.40
Hellersdorf,7.90
Hermsdorf,10.00
Johannisthal,9.30
Karlshorst,9.90
Karow,8.60
Kaulsdorf,9.70
Kladow,9.80
Konradshöhe,9.60
Köpenick,9.10
Kreuzberg,12.00
Lankwitz,9.40
Lichtenberg,10.00
Lichtenrade,9.30
Lichterfelde,10.50
Lübars,8.70
Mahlsdorf,9.50
Malchow,8.00
Mariendorf,9.40
Marienfelde,9.20
Märkisches Viertel,8.50
Marzahn,7.30
Mitte,12.10
Moabit,12.60
Müggelheim,9.10
Neu-Hohenschönhausen,8.00
Neukölln,8.90
Niederschöneweide,9.30
Niederschönhausen,10.50
Nikolassee,10.50
Oberschöneweide,9.00
Pankow,11.00
Plänterwald,11.60
Prenzlauer Berg,12.10
Rahnsdorf,9.90
Reinickendorf,9.50
Rosenthal,10.40
Rudow,9.00
Rummelsburg,13.00
Schmargendorf,11.70
Schmöckwitz,9.90
Schöneberg,11.80
Siemensstadt,10.00
Spandau,9.10
Staaken,8.70
Stadtrandsiedlung Malchow,10.20
Steglitz,10.70
Tegel,10.00
Tempelhof,10.20
Tiergarten,14.00
Waidmannslust,8.70
Wannsee,10.80
Wartenberg,7.20
Wedding,11.00
Weißensee,10.20
Westend,11.00
Wilhelmsruh,10.40
Wilhelmstadt,9.20
Wilmersdorf,11.40
Wittenau,9.40
Zehlendorf,11.20
