Ortsteil,Einwohner
Adlershof,20210
Altglienicke,29595
Alt-Hohenschönhausen,50070
Alt-Treptow,13167
Baumschulenweg,18894
Biesdorf,28955
Blankenburg,6913
Blankenfelde,2058
Bohnsdorf,11859
Borsigwalde,6769
Britz,42846
Buch,16473
Buckow,40146
Charlottenburg,129359
Charlottenburg-Nord,19422
Dahlem,16916
Falkenberg,2189
Falkenhagener Feld,38667
Fennpfuhl,33751
Französisch Buchholz,21449
Friedenau,27998
Friedrichsfelde,55423
Friedrichshagen,19009
Friedrichshain,136652
Frohnau,16689
Gatow,3469
Gesundbrunnen,93862
Gropiusstadt,37686
Grünau,7217
Grunewald,11176
Hakenfelde,31327
Halensee,15497
Hansaviertel,5924
Haselhorst,16471
Heiligensee,18099
Heinersdorf,7779
Hellersdorf,84103
Hermsdorf,16726
Johannisthal,19960
Karlshorst,28206
Karow,19694
Kaulsdorf,19408
Kladow,16368
Konradshöhe,6011
Köpenick,67148
Kreuzberg,153135
Lankwitz,43558
Lichtenberg,41359
Lichtenrade,52110
Lichterfelde,85885
Lübars,5160
Mahlsdorf,29757
Malchow,643
Mariendorf,52734
Marienfelde,32270
Märkisches Viertel,40119
Marzahn,111508
Mitte,102338
Moabit,81021
Müggelheim,6867
Neu-Hohenschönhausen,56921
Neukölln,164636
Niederschöneweide,13004
Niederschönhausen,32037
Nikolassee,11642
Oberschöneweide,23638
Pankow,65375
Plänterwald,11299
Prenzlauer Berg,165055
Rahnsdorf,9856
Reinickendorf,83972
Rosenthal,9885
Rudow,42631
Rummelsburg,25697
Schmargendorf,22733
Schmöckwitz,4442
Schöneberg,122658
Siemensstadt,12740
Spandau,39653
Staaken,46369
Stadtrandsiedlung Malchow,1120
Steglitz,75578
Tegel,36764
Tempelhof,61769
Tiergarten,14940
Waidmannslust,11088
Wannsee,10126
Wartenberg,2578
Wedding,85275
Weißensee,54755
Westend,41328
Wilhelmsruh,8123
Wilhelmstadt,40463
Wilmersdorf,101877
Wittenau,24726
Zehlendorf,54328
